title,ncode,writer,story,biggenre,genre,keyword,length
婚約破棄された悪霊令嬢は、幸せな結婚を手に入れる,N9165IL,新 星緒,"ベルジュロン公爵家の長女ロクサーヌは悪霊令嬢と呼ばれている。なぜなら右肩に悪霊が乗っているから。それは世にも恐ろしい姿をしているけれど、ロクサーヌはペットとして可愛がっている。
だけどその様子が気持ち悪いと、婚約破棄されてしまった。
そこに隣国の第二王子クリスピアンが現れて、『面白い令嬢だ。ぜひ私の妻になっていただきたい』と言い出した。
ロクサーヌと悪霊は、これはラッキーとばかりにクリスピアンの申し出を受けるけれど、実はクリスピアンの目的は――

◇◇

悪霊（？）とそんなカレに憑かれた令嬢が、協力して幸せを手に入れるお話！",1,101,ハッピーエンド 霊的存在 復讐 腹黒い悪役,11209
王子様の教育係に任命されました,N9050IL,有沢真尋＠10.26「黒騎士」電子書籍,"　王子様の教育係に任命された、と聞いて真っ先に頭に浮かんだのは「子作りの手ほどき」である。

（王家の男子に対して「世継ぎのもうけ方」を伝授する女性がいるとの噂は耳にしたこともあるけれど、まさか本当にまわってくるなんて）

　出戻り娘のジュディは、覚悟して王宮へ向かった。
　しかし、どうもその仕事は思っていたのとは違ったようで……。
",1,101,白い結婚 離婚 教育係 お仕事 思っていたのと違う,8920
悪役令嬢は、決闘裁判に怯まない。でも、助太刀に入ってくれた騎士様がなんかおかしいんですけども！？,N8505IL,鯵御膳,"「貴様がこの可憐なリーザに対して非道な仕打ちをし続けたこと、最早明白だ！」

　とある国の貴族学園の卒業式、侯爵令嬢ファビーナは婚約者である王太子から断罪を受けていた。
　そして彼女は決闘による裁判を突きつけられるのだが、怯むこと亡くそれを受け入れる。
　彼女は前世の記憶がある転生者であり、この世界がとある乙女ゲームに酷似していることに気がついて、この決闘裁判のために準備をしてきていたからだ。
　だが元は乙女ゲー、ラストバトルであるこの決闘裁判はぬるゲーであったため、ラスボスであるファビーナの勝ち目はあまりない。
　それでも悲壮な覚悟を決めて決闘に挑もうとした彼女へと、助太刀が現れた。

「ピッエ～～ルでございます！」
「は？」

　糾弾していた王太子も唖然とするほど場違いに明るい一人の男。
　騎士科に属する子爵令息、ピエールだった。
　道化の騎士とも呼ばれる彼は、その勢いで場の空気を掌握、王太子達の企図したものとは違う形での決闘裁判を同意させてしまうことに成功。
　そしてファビーナはピエールと協力し、決闘裁判へと臨むことになったのだが……。",1,101,R15 残酷な描写あり 異世界転生 身分差 悪役令嬢 女主人公 西洋 近世 中世 魔法 ハッピーエンド,13270
【第四章完結】大当たり令嬢はニ度目の人生を謳歌する〜死にたくないので100億マニーを手に隣国へ逃亡します〜,N8637IL,青季 ふゆ@醜穢令嬢 2巻発売中！,"　リンドベル伯爵家の庶子リリアは、離れに隔離され家族に虐げられる日々を送っていた。
　そんなリリアは腹違いの妹マリンにあらぬ冤罪をかけられ投獄。
　極度の栄養失調気味だったリリアは呆気なく飢え死んでしまう。
　しかし次に目覚めると投獄の2週間前に戻っていた。
　死の運命から逃れるべく、リリアは処刑前に覚えていた宝くじの当たり番号を使い100億マニーを獲得。
　その資金を手に隣国へ逃亡し、何不自由ない豪遊生活を──とはならず、根がビビりで貧乏性のリリアはひっそりと質素な生活を送る。
　そんな中でリリアは、路頭に迷っていた孤児を保護したり、酔い潰れていた美丈夫を助けて恩返しされたり、閉店寸前のパン屋さんのために奮闘したりと、何かと休まらない日々を過ごすのであった。",1,101,女主人公 国外逃亡 才能チート 大金チート ショタ スローライフ ざまぁ 純愛 溺愛 ハッピーエンド ほのぼの 産業革命後世界観 騎士,63736
氷の侯爵？いえいえ、可愛い夫です,N8954IL,risashy,"結婚初夜に氷の侯爵と称されるフェリクスは新妻のアンネマリーに言った。
「俺は……君を、愛してはいない」
アンネマリーは思った。
（きたー！ほんとに言った！）
巷で話題のアレを実践する男がここにいたぞ。と。

そんな風に始まった二人が、何だかんだで仲の良い夫婦になる話。",1,101,R15 ハッピーエンド 結婚 惚れ薬 貴族,9090
勝手に届いた花嫁を、辺境伯はありがたく受け取る。,N6071IL,日和るか,十六歳のマヤ・アルジョヴィ子爵令嬢は義母から結婚を命じられて持参金もなく追い出される。お相手は野蛮人と言われている老人のロザカンド辺境伯だそうだ。不遇な扱いの家にいるよりいいかと素直に嫁に出されて辺境に着いたマヤは意外な事実を知る。今の辺境伯は前辺境伯の孫の二十一歳のシージンだった。どんな処遇になるかと不安になるマヤにシージンは求婚する。使役できるワイバーンを育成している特殊な家系のロザカンド家に嫁ぐ事になったマヤは辺境の地で幸せを掴みたい。全１１話です。　誤字脱字ご指摘ありがとうございます。その場で訂正できるので助かります。,1,101,ハッピーエンド 子爵令嬢 辺境伯 飛竜,34534
昭和38年　～令和最新型のアラフォーが混迷の昭和にタイムスリップしたら～【なろう版】,N9627IL,朝倉一二三,"　気がつくと男は見知らぬ街にいた。
　東京なのは間違いないのだが、どうも景色がおかしい。
　木造やらバラックやら、高いビルもないし空が広い。
　道路を走っているのは、クラシックカーばかり。
　近くの店で新聞を見ると――日付はなんと昭和38年。
　財布の中の金は使えない、着の身着のまま。
　カバンの中は、ネットにつながるはずがないスマホだけ。
　衣食住、すべてをなくした時間渡航者のオッサンは生き延びることができるのか。

　某所に投稿した作品を全年齢用＋R15に構成し直したものです。
",2,202,R15 タイムスリップ 昭和 オッサン ハーレム 幼女,906863
謹んで婚約者候補を辞退いたします,N9801IL,四折　柊,　公爵令嬢ブリジットは王太子ヴィンセントの婚約者候補の三人いるうちの一人だ。すでに他の二人はお試し期間を経て婚約者候補を辞退している。ヴィンセントは完璧主義で頭が古いタイプなので一緒になれば気苦労が多そうで将来を考えられないからだそうだ。ブリジットは彼と親しくなるための努力をしたが報われず婚約者候補を辞退した。ところがその後ヴィンセントが声をかけて来るようになって……。（えっ？今になって？）傲慢不遜な王太子と実は心の中では口の悪い公爵令嬢のくっつかないお話。全3話。暇つぶしに流し読んで頂ければ幸いです。※他サイトでも公開しています。,1,101,異世界 恋愛 婚約者候補 後悔先に立たず 婚約は不成立 平和な国のゆるい設定,14381
シドはC級冒険者～ランクアップは遠慮する～,N0189IK,盛嵜 柊,シドという名の男は、C級冒険者である。風魔法と身体強化を使い、ソロで活動しながらも街のギルドには属することなく、国中を移動しながら冒険者業を続けていた。そんな中、ロンデの街のダンジョンへ潜る。だが、そこでの出来事から、状況が少しずつ変わってゆく。しかし、面倒事には関わりたくない。少し変わり者のシドは、ちょっと何かを抱えつつ、冒険者として普通に生きていくつもりだったのだが…。【地図掲載】※この話に出てくるスキルや魔法には一部、独自の設定が含まれております。【2023.10/4～10/6-日間ハイファンタジーランキングで2位○10/7～10/12は3位、10/24～28-同ランキング月間3位を獲得いたしました。これも皆様がお力添え下さったお陰です。有難う御座います！】,2,201,R15 残酷な描写あり 冒険 男主人公 魔法 ダンジョン 迷宮 スキル ギルド 魔物 剣士 冒険者 錬金術 実は強い ご都合主義 ESN大賞５ OVL大賞9,196078
転生令嬢ヴィオレッタの農業革命～美食を探究していたら、氷の侯爵様に溺愛されていました？,N1580IK,朝月アサ,"「ふしだらな君を愛することはできない」

初夜に夫エルネストにそう告げられたヴィオレッタは、離婚しない代わりに領地で自由に動く権利を求める。

大義名分を得たヴィオレッタは、夫不在の間に痩せた土地の農業改革に挑んでいく。

実はヴィオレッタは転生者であり、自分の美食のために子ども時代から農法研究を続けていた。

米の栽培、小麦の増産、養蜂、牛乳の品質向上、そして奇跡の砂糖――

前世知識と現世経験を活かしてヴィオレッタは突き進む。

すべては美食のために！

------
【短編】「君を愛することはできない」と妻に言ってしまった侯爵の後悔
https://ncode.syosetu.com/n7261ih/
こちらの長編版です。主人公も設定も展開も変わっています。
------
◆カクヨムにも掲載しています。（なろう版はカクヨム版から加筆修正しています）
------
◆10/26異世界恋愛（月間1位・四半期1位）総合（月間2位・四半期2位）異世界転生/転移恋愛（月間1位・四半期1位・年間1位）ありがとうございます！",1,101,R15 異世界転生 女主人公 西洋 中世 内政 チート,70036
